,name,Identifier
76,Aortic,R-HSA-1839094
77,Aortic,R-HSA-977136
78,Barth,R-HSA-5210891
79,Cor,R-HSA-8985801
80,Cor,R-HSA-6809371
81,Cor,R-HSA-1299344
82,Cor,R-HSA-5579009
83,Cor,R-HSA-5619039
84,Cor,R-HSA-1368071
85,Cor,R-HSA-350054
86,Cor,R-HSA-8986944
87,Cor,R-HSA-383280
88,Coronary,R-HSA-75205
89,Coronary,R-HSA-417973
90,Coronary,R-HSA-5679096
91,Coronary,R-HSA-5682113
92,Coronary,R-HSA-5679090
93,Anomalous,R-HSA-2033515
94,Bland,R-HSA-9625814
95,Bland,R-HSA-9625813
96,Bland,R-HSA-376149
97,Bland,R-HSA-204364
98,Bland,R-HSA-209868
99,Bland,R-HSA-5602186
100,Myocardial,R-HSA-5682113
101,Myocardial,R-HSA-9629232
102,Myocardial,R-HSA-417973
103,Myocardial,R-HSA-5619039
104,Ebstein,R-HSA-976075
105,Ebstein,R-HSA-983157
106,Ectopia,R-HSA-1566948
107,Heterotaxy,R-HSA-480470
108,Isolated,R-HSA-5683371
109,Isolated,R-HSA-5688031
110,Isolated,R-HSA-8964041
111,Isolated,R-HSA-5619095
112,Isolated,R-HSA-419812
113,Isolated,R-HSA-4085011
114,Isolated,R-HSA-9648895
115,Isolated,R-HSA-77595
116,Isolated,R-HSA-9673163
117,Isolated,R-HSA-72187
118,Isolated,R-HSA-171306
119,Isolated,R-HSA-5579028
120,Isolated,R-HSA-5619054
121,Isolated,R-HSA-168255
122,Isolated,R-HSA-9032845
123,Isolated,R-HSA-156588
124,Isolated,R-HSA-157579
125,Isolated,R-HSA-202131
126,Isolated,R-HSA-1442490
127,Isolated,R-HSA-162592
128,Isolated,R-HSA-1566948
129,LEOPARD,R-HSA-9656223
130,Marfan,R-HSA-1566948
131,Noonan,R-HSA-9660537
132,Noonan,R-HSA-6802949
133,Noonan,R-HSA-9656223
134,Noonan,R-HSA-9652169
135,Transposition,R-HSA-6807505
136,Transposition,R-HSA-5601884
137,Congenitally,R-HSA-5579009
138,Congenitally,R-HSA-3282872
139,Congenitally,R-HSA-5579005
140,Congenitally,R-HSA-5633231
141,Congenitally,R-HSA-5682294
142,Congenitally,R-HSA-5619037
143,Congenitally,R-HSA-5619077
144,Congenitally,R-HSA-5619078
145,Congenitally,R-HSA-5619072
146,Congenitally,R-HSA-5619085
147,Congenitally,R-HSA-5663020
148,Congenitally,R-HSA-5656364
149,Congenitally,R-HSA-5579026
150,Congenitally,R-HSA-5579013
151,Congenitally,R-HSA-5619076
152,Double,R-HSA-5693548
153,Double,R-HSA-5693606
154,Double,R-HSA-5693565
155,Double,R-HSA-5693532
156,Double,R-HSA-5693607
157,Double,R-HSA-9020958
158,Double,R-HSA-196025
159,Double,R-HSA-1221632
160,Double,R-HSA-75102
161,Double,R-HSA-3134973
162,Double,R-HSA-168164
163,Double,R-HSA-190873
164,Double,R-HSA-5693538
165,Double,R-HSA-5693571
166,Double,R-HSA-912446
167,Double,R-HSA-936964
168,Double,R-HSA-9013973
169,Double,R-HSA-933543
170,Double,R-HSA-1500620
171,Double,R-HSA-5685939
172,Double,R-HSA-5693554
173,Double,R-HSA-6783310
174,Double,R-HSA-75064
175,Double,R-HSA-1679131
176,Double,R-HSA-3108214
177,Double,R-HSA-162589
178,Double,R-HSA-68827
179,Double,R-HSA-927802
180,Double,R-HSA-975957
181,Double,R-HSA-381183
182,Double,R-HSA-975956
183,Double,R-HSA-5685938
184,Double,R-HSA-5578749
185,Double,R-HSA-68962
186,Double,R-HSA-2559586
187,Double,R-HSA-6804759
188,Double,R-HSA-6803529
189,Double,R-HSA-5628897
190,Double,R-HSA-426486
191,Double,R-HSA-5685942
192,Double,R-HSA-203927
193,Double,R-HSA-5696400
194,Double,R-HSA-9670095
195,Double,R-HSA-5693568
196,Double,R-HSA-6806834
197,Double,R-HSA-77286
198,Double,R-HSA-77288
199,Double,R-HSA-73817
200,Double,R-HSA-6807047
201,Double,R-HSA-6807062
202,Double,R-HSA-73762
203,Double,R-HSA-2142670
204,Double,R-HSA-4615885
205,Double,R-HSA-844615
206,Double,R-HSA-2142696
207,Double,R-HSA-9616334
208,Double,R-HSA-9612973
209,Double,R-HSA-9668328
210,Double,R-HSA-171306
211,Double,R-HSA-9679191
212,Double,R-HSA-110314
213,Double,R-HSA-112126
214,Double,R-HSA-157858
215,Double,R-HSA-73894
216,Double,R-HSA-8941284
217,Double,R-HSA-191273
218,Double,R-HSA-5423599
219,Double,R-HSA-5602410
220,Double,R-HSA-75944
221,Double,R-HSA-400206
222,Double,R-HSA-2046104
223,Double,R-HSA-9018683
224,Double,R-HSA-8956320
225,Double,R-HSA-5693579
226,Double,R-HSA-5693567
227,Double,R-HSA-168181
228,Double,R-HSA-6796648
229,Double,R-HSA-9633012
230,Double,R-HSA-9678108
231,Double,R-HSA-9679504
232,Double,R-HSA-156590
233,Double,R-HSA-9616333
234,Double,R-HSA-8983711
235,Double,R-HSA-190828
236,Double,R-HSA-6804757
237,Double,R-HSA-157579
238,Double,R-HSA-6804756
239,Double,R-HSA-9609646
240,Double,R-HSA-9648895
241,Double,R-HSA-3214842
242,Double,R-HSA-162592
243,Double,R-HSA-1632852
244,Turner,R-HSA-1839120
245,Turner,R-HSA-1839124
246,Turner,R-HSA-1839122
247,Turner,R-HSA-2023837
248,Turner,R-HSA-8866910
249,Turner,R-HSA-1226099
250,Turner,R-HSA-1839117
251,Turner,R-HSA-1839126
252,Turner,R-HSA-5423646
253,Turner,R-HSA-5655302
254,Turner,R-HSA-8864260
255,Turner,R-HSA-6803205
256,Turner,R-HSA-5633008
257,Turner,R-HSA-8878159
258,Turner,R-HSA-8986944
259,Turner,R-HSA-9674415
260,Turner,R-HSA-392451
261,Turner,R-HSA-5678420
262,Turner,R-HSA-5619092
263,Turner,R-HSA-5619072
264,Turner,R-HSA-9646304
265,Turner,R-HSA-9646303
266,Turner,R-HSA-6790901
267,Turner,R-HSA-419812
268,Turner,R-HSA-6802949
269,Turner,R-HSA-9660537
270,Turner,R-HSA-9656223
271,Turner,R-HSA-9662001
272,Vascular,R-HSA-5218920
273,Vascular,R-HSA-202733
274,Vascular,R-HSA-195399
275,Vascular,R-HSA-194313
276,Vascular,R-HSA-5218921
277,Vascular,R-HSA-194138
278,Vascular,R-HSA-4420097
279,Vascular,R-HSA-1474151
280,Vascular,R-HSA-3000170
281,Vascular,R-HSA-201451
282,Vascular,R-HSA-418457
283,Vascular,R-HSA-8981607
284,Vascular,R-HSA-210993
285,Vascular,R-HSA-9604323
286,Vascular,R-HSA-3299685
287,Vascular,R-HSA-1296052
288,Vascular,R-HSA-2022377
289,Vascular,R-HSA-9013695
290,Vascular,R-HSA-5668599
291,Vascular,R-HSA-9013694
292,Vascular,R-HSA-1834941
293,Vascular,R-HSA-8866910
294,Vascular,R-HSA-162582
295,Vascular,R-HSA-9012852
296,Vascular,R-HSA-2122947
297,Vascular,R-HSA-9652282
298,Vascular,R-HSA-8864260
299,Vascular,R-HSA-418346
300,Vascular,R-HSA-8848021
301,Vascular,R-HSA-76009
302,Vascular,R-HSA-140877
303,Vascular,R-HSA-5619111
304,Vascular,R-HSA-418038
305,Vascular,R-HSA-392851
306,Vascular,R-HSA-1296025
307,Vascular,R-HSA-1980143
308,Vascular,R-HSA-8951664
309,Vascular,R-HSA-9671793
310,Vascular,R-HSA-9018682
311,Vascular,R-HSA-109582
312,Vascular,R-HSA-202131
313,Vascular,R-HSA-210990
314,Vascular,R-HSA-5579032
315,Vascular,R-HSA-9657689
316,Vascular,R-HSA-430116
317,Vascular,R-HSA-392518
318,Vascular,R-HSA-2142691
319,Vascular,R-HSA-9657688
320,Vascular,R-HSA-2160916
321,Vascular,R-HSA-9013700
322,Vascular,R-HSA-9671555
323,Vascular,R-HSA-114608
324,Vascular,R-HSA-198933
325,Vascular,R-HSA-9026403
326,Vascular,R-HSA-9651496
327,Vascular,R-HSA-216083
328,Vascular,R-HSA-354192
329,Vascular,R-HSA-75892
330,Vascular,R-HSA-76002
331,Vascular,R-HSA-1474290
332,Vascular,R-HSA-1566948
333,Carotid-Cavernous,R-HSA-9629232
334,Intracranial,R-HSA-9668250
335,Vein,R-HSA-5678420
336,Vein,R-HSA-5655799
337,Vein,R-HSA-5619048
338,Vein,R-HSA-422085
339,Vein,R-HSA-166658
340,Central,R-HSA-209931
341,Central,R-HSA-209776
342,Central,R-HSA-9036092
343,Central,R-HSA-5619099
344,Central,R-HSA-622327
345,Central,R-HSA-422475
346,Central,R-HSA-211935
347,Central,R-HSA-426486
348,Central,R-HSA-2586552
349,Central,R-HSA-1234174
350,Central,R-HSA-6802953
351,Central,R-HSA-5619046
352,Central,R-HSA-376176
353,Central,R-HSA-203927
354,Central,R-HSA-3000480
355,Central,R-HSA-5619061
356,Central,R-HSA-937039
357,Central,R-HSA-975144
358,Central,R-HSA-1592230
359,Central,R-HSA-9609736
360,Central,R-HSA-9639288
361,Central,R-HSA-983695
362,Central,R-HSA-210746
363,Central,R-HSA-5663202
364,Central,R-HSA-8978868
365,Central,R-HSA-5652227
366,Central,R-HSA-181429
367,Central,R-HSA-264642
368,Central,R-HSA-168164
369,Central,R-HSA-174577
370,Central,R-HSA-192869
371,Central,R-HSA-5358747
372,Central,R-HSA-5467337
373,Central,R-HSA-5663084
374,Central,R-HSA-5602571
375,Central,R-HSA-181431
376,Central,R-HSA-5654706
377,Central,R-HSA-5654693
378,Central,R-HSA-5654712
379,Central,R-HSA-5654700
380,Central,R-HSA-1221632
381,Central,R-HSA-196108
382,Central,R-HSA-425381
383,Central,R-HSA-9615933
384,Central,R-HSA-3301854
385,Central,R-HSA-5368598
386,Central,R-HSA-3270619
387,Central,R-HSA-1500931
388,Central,R-HSA-5661231
389,Central,R-HSA-447041
390,Central,R-HSA-164516
391,Central,R-HSA-164525
392,Central,R-HSA-73857
393,Central,R-HSA-390648
394,Central,R-HSA-3656225
395,Central,R-HSA-8963896
396,Central,R-HSA-70268
397,Central,R-HSA-75876
398,Central,R-HSA-390466
399,Central,R-HSA-166520
400,Central,R-HSA-2142789
401,Central,R-HSA-442755
402,Central,R-HSA-888590
403,Central,R-HSA-983168
404,Central,R-HSA-5621481
405,Central,R-HSA-4755609
406,Central,R-HSA-913709
407,Central,R-HSA-3229121
408,Central,R-HSA-2206291
409,Central,R-HSA-2206308
410,Central,R-HSA-5659898
411,Central,R-HSA-189445
412,Central,R-HSA-8964058
413,Central,R-HSA-5602410
414,Central,R-HSA-163316
415,Central,R-HSA-8979227
416,Central,R-HSA-9026762
417,Central,R-HSA-1296061
418,Central,R-HSA-2122948
419,Central,R-HSA-9609646
420,Central,R-HSA-201688
421,Central,R-HSA-165158
422,Central,R-HSA-437239
423,Central,R-HSA-140834
424,Central,R-HSA-4839744
425,Central,R-HSA-3785653
426,Central,R-HSA-913531
427,Central,R-HSA-2132295
428,Central,R-HSA-556833
429,Central,R-HSA-9006115
430,Central,R-HSA-168255
431,Central,R-HSA-8862803
432,Central,R-HSA-425366
433,Central,R-HSA-5602415
434,Central,R-HSA-163560
435,Central,R-HSA-6811442
436,Central,R-HSA-170834
437,Central,R-HSA-202131
438,Central,R-HSA-446203
439,Central,R-HSA-168643
440,Central,R-HSA-9036866
441,Central,R-HSA-452723
442,Central,R-HSA-9651496
443,Central,R-HSA-5617833
444,Central,R-HSA-445717
445,Central,R-HSA-432047
446,Central,R-HSA-8864260
447,Central,R-HSA-425407
448,Central,R-HSA-1566948
449,Central,R-HSA-2022090
450,Sinus,R-HSA-2197768
451,Sinus,R-HSA-2239447
452,Sinus,R-HSA-2247513
453,Sinus,R-HSA-390673
454,May-Thurner,R-HSA-5619094
455,May-Thurner,R-HSA-5659729
456,May-Thurner,R-HSA-5619079
457,May-Thurner,R-HSA-5619107
458,May-Thurner,R-HSA-5696394
459,May-Thurner,R-HSA-5620924
460,May-Thurner,R-HSA-5620920
461,May-Thurner,R-HSA-5603027
462,May-Thurner,R-HSA-5693554
463,May-Thurner,R-HSA-6804759
464,May-Thurner,R-HSA-9679509
465,May-Thurner,R-HSA-381753
466,May-Thurner,R-HSA-6806834
467,May-Thurner,R-HSA-75108
468,May-Thurner,R-HSA-629594
469,May-Thurner,R-HSA-8875791
470,May-Thurner,R-HSA-198933
471,May-Thurner,R-HSA-430039
472,May-Thurner,R-HSA-2559583
473,May-Thurner,R-HSA-264870
474,May-Thurner,R-HSA-111452
475,May-Thurner,R-HSA-190372
476,May-Thurner,R-HSA-190371
477,May-Thurner,R-HSA-190373
478,May-Thurner,R-HSA-190370
479,May-Thurner,R-HSA-5693537
480,May-Thurner,R-HSA-5675482
481,May-Thurner,R-HSA-190375
482,May-Thurner,R-HSA-190377
483,May-Thurner,R-HSA-174084
484,May-Thurner,R-HSA-3000171
485,May-Thurner,R-HSA-1299308
486,May-Thurner,R-HSA-1236977
487,May-Thurner,R-HSA-181438
488,May-Thurner,R-HSA-418890
489,May-Thurner,R-HSA-9006927
490,May-Thurner,R-HSA-888568
491,May-Thurner,R-HSA-170145
492,May-Thurner,R-HSA-114294
493,May-Thurner,R-HSA-205025
494,May-Thurner,R-HSA-169911
495,May-Thurner,R-HSA-168142
496,May-Thurner,R-HSA-1483076
497,May-Thurner,R-HSA-3065678
498,May-Thurner,R-HSA-5689877
499,May-Thurner,R-HSA-3000484
500,May-Thurner,R-HSA-156580
501,May-Thurner,R-HSA-5260271
502,May-Thurner,R-HSA-5619066
503,May-Thurner,R-HSA-6811436
504,May-Thurner,R-HSA-203927
505,May-Thurner,R-HSA-9613354
506,May-Thurner,R-HSA-141405
507,May-Thurner,R-HSA-8849474
508,May-Thurner,R-HSA-8849471
509,May-Thurner,R-HSA-8849469
510,May-Thurner,R-HSA-4641257
511,May-Thurner,R-HSA-171007
512,May-Thurner,R-HSA-163200
513,May-Thurner,R-HSA-2022923
514,May-Thurner,R-HSA-5658623
515,May-Thurner,R-HSA-205017
516,May-Thurner,R-HSA-622327
517,May-Thurner,R-HSA-9034864
518,May-Thurner,R-HSA-8935964
519,May-Thurner,R-HSA-8851708
520,May-Thurner,R-HSA-3359474
521,May-Thurner,R-HSA-3359471
522,May-Thurner,R-HSA-211999
523,May-Thurner,R-HSA-6807047
524,May-Thurner,R-HSA-6807062
525,May-Thurner,R-HSA-5579011
526,May-Thurner,R-HSA-3560796
527,May-Thurner,R-HSA-9675126
528,May-Thurner,R-HSA-1369062
529,May-Thurner,R-HSA-5619058
530,May-Thurner,R-HSA-73762
531,May-Thurner,R-HSA-6814848
532,May-Thurner,R-HSA-3232118
533,May-Thurner,R-HSA-381183
534,May-Thurner,R-HSA-8856688
535,May-Thurner,R-HSA-1251985
536,May-Thurner,R-HSA-8848021
537,May-Thurner,R-HSA-9629232
538,May-Thurner,R-HSA-177504
539,May-Thurner,R-HSA-198765
540,May-Thurner,R-HSA-2393930
541,May-Thurner,R-HSA-73887
542,May-Thurner,R-HSA-8851805
543,May-Thurner,R-HSA-975956
544,May-Thurner,R-HSA-9671793
545,May-Thurner,R-HSA-1839120
546,May-Thurner,R-HSA-5362798
547,May-Thurner,R-HSA-162710
548,May-Thurner,R-HSA-9678110
549,May-Thurner,R-HSA-8876493
550,May-Thurner,R-HSA-3000170
551,May-Thurner,R-HSA-420597
552,May-Thurner,R-HSA-389948
553,May-Thurner,R-HSA-198203
554,May-Thurner,R-HSA-165181
555,May-Thurner,R-HSA-203641
556,May-Thurner,R-HSA-438064
557,May-Thurner,R-HSA-438066
558,May-Thurner,R-HSA-933543
559,May-Thurner,R-HSA-6799990
560,May-Thurner,R-HSA-9634638
561,May-Thurner,R-HSA-8865999
562,May-Thurner,R-HSA-428543
563,May-Thurner,R-HSA-9673218
564,May-Thurner,R-HSA-8866904
565,May-Thurner,R-HSA-8941855
566,May-Thurner,R-HSA-164944
567,May-Thurner,R-HSA-168888
568,May-Thurner,R-HSA-1839124
569,May-Thurner,R-HSA-8853333
570,May-Thurner,R-HSA-3645790
571,May-Thurner,R-HSA-390651
572,May-Thurner,R-HSA-434313
573,May-Thurner,R-HSA-5619095
574,May-Thurner,R-HSA-72731
575,May-Thurner,R-HSA-191650
576,May-Thurner,R-HSA-190872
577,May-Thurner,R-HSA-2514853
578,May-Thurner,R-HSA-3238698
579,May-Thurner,R-HSA-5358508
580,May-Thurner,R-HSA-166520
581,May-Thurner,R-HSA-9006115
582,May-Thurner,R-HSA-9682708
583,May-Thurner,R-HSA-8876384
584,May-Thurner,R-HSA-6784531
585,May-Thurner,R-HSA-2559582
586,May-Thurner,R-HSA-69481
587,May-Thurner,R-HSA-69231
588,May-Thurner,R-HSA-211736
589,May-Thurner,R-HSA-114452
590,May-Thurner,R-HSA-1793185
591,May-Thurner,R-HSA-199977
592,May-Thurner,R-HSA-5654704
593,May-Thurner,R-HSA-190242
594,May-Thurner,R-HSA-5654688
595,May-Thurner,R-HSA-5654719
596,May-Thurner,R-HSA-187024
597,May-Thurner,R-HSA-6803211
598,May-Thurner,R-HSA-5357905
599,May-Thurner,R-HSA-2562578
600,May-Thurner,R-HSA-168138
601,May-Thurner,R-HSA-3249367
602,May-Thurner,R-HSA-9013957
603,May-Thurner,R-HSA-9032500
604,May-Thurner,R-HSA-5654699
605,May-Thurner,R-HSA-171306
606,May-Thurner,R-HSA-9664424
607,May-Thurner,R-HSA-180534
608,May-Thurner,R-HSA-9634285
609,May-Thurner,R-HSA-5658208
610,May-Thurner,R-HSA-5619111
611,May-Thurner,R-HSA-110313
612,May-Thurner,R-HSA-2046106
613,May-Thurner,R-HSA-6782861
614,May-Thurner,R-HSA-6793080
615,May-Thurner,R-HSA-1300642
616,May-Thurner,R-HSA-6791312
617,May-Thurner,R-HSA-3772470
618,May-Thurner,R-HSA-6804115
619,May-Thurner,R-HSA-6804116
620,May-Thurner,R-HSA-381426
621,May-Thurner,R-HSA-9633012
622,May-Thurner,R-HSA-975957
623,May-Thurner,R-HSA-9616333
624,May-Thurner,R-HSA-390466
625,May-Thurner,R-HSA-445355
626,May-Thurner,R-HSA-1268020
627,May-Thurner,R-HSA-9609507
628,May-Thurner,R-HSA-5666185
629,May-Thurner,R-HSA-8981607
630,May-Thurner,R-HSA-9013694
631,May-Thurner,R-HSA-5628897
632,May-Thurner,R-HSA-2559584
633,May-Thurner,R-HSA-111458
634,May-Thurner,R-HSA-6781823
635,May-Thurner,R-HSA-927802
636,May-Thurner,R-HSA-8941858
637,May-Thurner,R-HSA-9616334
638,May-Thurner,R-HSA-5334118
639,May-Thurner,R-HSA-977225
640,May-Thurner,R-HSA-68689
641,May-Thurner,R-HSA-69656
642,May-Thurner,R-HSA-2465910
643,May-Thurner,R-HSA-389513
644,May-Thurner,R-HSA-70635
645,May-Thurner,R-HSA-69563
646,May-Thurner,R-HSA-6802949
647,May-Thurner,R-HSA-3371378
648,May-Thurner,R-HSA-5218900
649,May-Thurner,R-HSA-622323
650,May-Thurner,R-HSA-1606322
651,May-Thurner,R-HSA-5686938
652,May-Thurner,R-HSA-844623
653,May-Thurner,R-HSA-9007892
654,May-Thurner,R-HSA-6782135
655,May-Thurner,R-HSA-6807004
656,May-Thurner,R-HSA-112382
657,May-Thurner,R-HSA-8866907
658,May-Thurner,R-HSA-9022699
659,May-Thurner,R-HSA-9022927
660,May-Thurner,R-HSA-5655253
661,May-Thurner,R-HSA-3304351
662,May-Thurner,R-HSA-156584
663,May-Thurner,R-HSA-191273
664,May-Thurner,R-HSA-193368
665,May-Thurner,R-HSA-193807
666,May-Thurner,R-HSA-3656253
667,May-Thurner,R-HSA-5083636
668,May-Thurner,R-HSA-2206281
669,May-Thurner,R-HSA-5423599
670,May-Thurner,R-HSA-5651801
671,May-Thurner,R-HSA-5678771
672,May-Thurner,R-HSA-399997
673,May-Thurner,R-HSA-5619035
674,May-Thurner,R-HSA-5619055
675,May-Thurner,R-HSA-73884
676,May-Thurner,R-HSA-1592389
677,May-Thurner,R-HSA-2129379
678,May-Thurner,R-HSA-212300
679,May-Thurner,R-HSA-75944
680,May-Thurner,R-HSA-74158
681,May-Thurner,R-HSA-75205
682,May-Thurner,R-HSA-9026766
683,May-Thurner,R-HSA-9027307
684,May-Thurner,R-HSA-9027604
685,May-Thurner,R-HSA-8866652
686,May-Thurner,R-HSA-3108214
687,May-Thurner,R-HSA-5689901
688,May-Thurner,R-HSA-422085
689,May-Thurner,R-HSA-75072
690,May-Thurner,R-HSA-77588
691,May-Thurner,R-HSA-5624958
692,May-Thurner,R-HSA-9632974
693,May-Thurner,R-HSA-1445148
694,May-Thurner,R-HSA-8986944
695,May-Thurner,R-HSA-1236394
696,May-Thurner,R-HSA-350054
697,May-Thurner,R-HSA-166187
698,May-Thurner,R-HSA-166658
699,May-Thurner,R-HSA-5673000
700,May-Thurner,R-HSA-5693571
701,May-Thurner,R-HSA-6781827
702,May-Thurner,R-HSA-8878171
703,May-Thurner,R-HSA-452723
704,May-Thurner,R-HSA-8953750
705,May-Thurner,R-HSA-168799
706,May-Thurner,R-HSA-72613
707,May-Thurner,R-HSA-5617833
708,May-Thurner,R-HSA-9018519
709,May-Thurner,R-HSA-2022090
710,May-Thurner,R-HSA-5205685
711,May-Thurner,R-HSA-6811558
712,May-Thurner,R-HSA-5673001
713,May-Thurner,R-HSA-4641265
714,May-Thurner,R-HSA-5625900
715,May-Thurner,R-HSA-166208
716,May-Thurner,R-HSA-5662702
717,May-Thurner,R-HSA-5694530
718,May-Thurner,R-HSA-5693579
719,May-Thurner,R-HSA-5218859
720,May-Thurner,R-HSA-109581
721,May-Thurner,R-HSA-937039
722,May-Thurner,R-HSA-975144
723,May-Thurner,R-HSA-181431
724,May-Thurner,R-HSA-6803157
725,May-Thurner,R-HSA-1679131
726,May-Thurner,R-HSA-166662
727,May-Thurner,R-HSA-448706
728,May-Thurner,R-HSA-3214847
729,May-Thurner,R-HSA-9010553
730,May-Thurner,R-HSA-373760
731,May-Thurner,R-HSA-6809371
732,May-Thurner,R-HSA-9679504
733,May-Thurner,R-HSA-5250968
734,May-Thurner,R-HSA-168303
735,May-Thurner,R-HSA-9673767
736,May-Thurner,R-HSA-8853334
737,May-Thurner,R-HSA-4791275
738,May-Thurner,R-HSA-3304347
739,May-Thurner,R-HSA-5602358
740,May-Thurner,R-HSA-69306
741,May-Thurner,R-HSA-1474228
742,May-Thurner,R-HSA-5578749
743,May-Thurner,R-HSA-5601884
744,May-Thurner,R-HSA-75892
745,May-Thurner,R-HSA-1362409
746,May-Thurner,R-HSA-8866654
747,May-Thurner,R-HSA-2990846
748,May-Thurner,R-HSA-1592230
749,May-Thurner,R-HSA-5683057
750,May-Thurner,R-HSA-5687128
751,May-Thurner,R-HSA-9006335
752,May-Thurner,R-HSA-9029558
753,May-Thurner,R-HSA-8949215
754,May-Thurner,R-HSA-190704
755,May-Thurner,R-HSA-8856825
756,May-Thurner,R-HSA-6807070
757,May-Thurner,R-HSA-8878166
758,May-Thurner,R-HSA-5633008
759,May-Thurner,R-HSA-8934593
760,May-Thurner,R-HSA-9665686
761,May-Thurner,R-HSA-9605310
762,May-Thurner,R-HSA-1650814
763,May-Thurner,R-HSA-8852135
764,May-Thurner,R-HSA-8856828
765,May-Thurner,R-HSA-162658
766,May-Thurner,R-HSA-8852276
767,May-Thurner,R-HSA-6804757
768,May-Thurner,R-HSA-2122947
769,May-Thurner,R-HSA-2173795
770,May-Thurner,R-HSA-2173788
771,May-Thurner,R-HSA-9020558
772,May-Thurner,R-HSA-5685939
773,May-Thurner,R-HSA-9609736
774,May-Thurner,R-HSA-1461973
775,May-Thurner,R-HSA-8853884
776,May-Thurner,R-HSA-8936459
777,May-Thurner,R-HSA-5635838
778,May-Thurner,R-HSA-174143
779,May-Thurner,R-HSA-2682334
780,May-Thurner,R-HSA-9657689
781,May-Thurner,R-HSA-9022692
782,May-Thurner,R-HSA-1227990
783,May-Thurner,R-HSA-8863678
784,May-Thurner,R-HSA-5602415
785,May-Thurner,R-HSA-447115
786,May-Thurner,R-HSA-5688426
787,May-Thurner,R-HSA-2586552
788,May-Thurner,R-HSA-2028269
789,May-Thurner,R-HSA-2122948
790,May-Thurner,R-HSA-2173789
791,May-Thurner,R-HSA-202424
792,May-Thurner,R-HSA-6804756
793,May-Thurner,R-HSA-3248023
794,May-Thurner,R-HSA-168643
795,May-Thurner,R-HSA-9036866
796,May-Thurner,R-HSA-983695
797,May-Thurner,R-HSA-9012852
798,May-Thurner,R-HSA-3247509
799,May-Thurner,R-HSA-9662001
800,May-Thurner,R-HSA-176033
801,May-Thurner,R-HSA-9609646
802,May-Thurner,R-HSA-1226099
803,May-Thurner,R-HSA-189200
804,May-Thurner,R-HSA-5603041
805,May-Thurner,R-HSA-5603037
806,May-Thurner,R-HSA-1566977
807,May-Thurner,R-HSA-162582
808,May-Thurner,R-HSA-1566948
809,May-Thurner,R-HSA-2559585
810,May-Thurner,R-HSA-2559580
811,May-Thurner,R-HSA-5213460
812,May-Thurner,R-HSA-5684264
813,May-Thurner,R-HSA-1222556
814,May-Thurner,R-HSA-1170546
815,May-Thurner,R-HSA-5617472
816,May-Thurner,R-HSA-162592
817,May-Thurner,R-HSA-8864260
818,May-Thurner,R-HSA-8878159
