,nodesName,dbID
59,['Regulation of cortical dendrite branching'],8985801
60,['Formation of the cornified envelope'],6809371
61,['TWIK-related spinal cord K+ channel (TRESK)'],1299344
62,['Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)'],5579009
63,['NR1D1 (REV-ERBA) represses gene expression'],1368071
64,['Notch-HLH transcription pathway'],350054
65,['Nuclear Receptor transcription pathway'],383280
66,['Dissolution of Fibrin Clot'],75205
67,['Defective ABCG5 causes sitosterolemia'],5679096
68,['Defective ABCG8 causes gallbladder disease 4 and sitosterolemia'],5679090
69,['t(4;14) translocations of FGFR3'],2033515
70,['Elastic fibre formation'],1566948
71,['Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7)'],5683371
72,['Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS)'],5688031
73,['LDL remodeling'],8964041
74,"['Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)']",5619095
75,"['Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2']",4085011
76,['Response of EIF2AK1 (HRI) to heme deficiency'],9648895
77,['Processing of Intronless Pre-mRNAs'],77595
78,['Oleoyl-phe metabolism'],9673163
79,"[""mRNA 3'-end processing""]",72187
80,['Packaging Of Telomere Ends'],171306
81,['Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)'],5579028
82,"['Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)']",5619054
83,['Influenza Infection'],168255
84,['Activated NTRK2 signals through CDK5'],9032845
85,['Glucuronidation'],156588
86,"['Telomere Maintenance', 'Maintenance of Telomeres']",157579
87,['Metabolism of nitric oxide: eNOS activation and regulation'],202131
88,['Collagen degradation'],1442490
89,['Integration of provirus'],162592
90,['Signaling by RAS mutants'],6802949
91,['RNA polymerase II transcribes snRNA genes'],6807505
92,['PIWI-interacting RNA (piRNA) biogenesis'],5601884
93,"['Severe congenital neutropenia type 4 (G6PC3)', 'SCN4']",3282872
94,"['Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)']",5579005
95,['Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)'],5633231
96,['Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B'],5682294
97,['Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)'],5619037
98,['Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)'],5619077
99,['Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)'],5619078
100,['Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)'],5619072
101,['Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)'],5619085
102,['Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)'],5663020
103,['Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)'],5656364
104,"['Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)']",5579026
105,"['Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)']",5579013
106,['Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)'],5619076
107,['Sensing of DNA Double Strand Breaks'],5693548
108,['DNA Double Strand Break Response'],5693606
109,['Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks'],5693565
110,['DNA Double-Strand Break Repair'],5693532
111,['Processing of DNA double-strand break ends'],5693607
112,['Interleukin-21 signaling'],9020958
113,['Formation of annular gap junctions'],196025
114,['Meiotic synapsis'],1221632
115,['C6 deamination of adenosine'],75102
116,['LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production'],3134973
117,['Toll Like Receptor 3 (TLR3) Cascade'],168164
118,['Gap junction degradation'],190873
119,['Homology Directed Repair'],5693538
120,['Nonhomologous End-Joining (NHEJ)'],5693571
121,['Meiotic recombination'],912446
122,['Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon'],936964
123,"['TICAM1-dependent activation of IRF3/IRF7', 'TLR3-mediated TICAM1-dependent activation of IRF3/IRF7', 'TLR3-mediated TRIF-dependent activation of IRF3/IRF7', 'Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon']",9013973
124,['NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10'],933543
125,['Meiosis'],1500620
126,['HDR through MMEJ (alt-NHEJ)'],5685939
127,['Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)'],5693554
128,['Fanconi Anemia Pathway'],6783310
129,['mRNA Editing: A to I Conversion'],75064
130,['Trafficking and processing of endosomal TLR'],1679131
131,['SUMOylation of DNA damage response and repair proteins'],3108214
132,['Reverse Transcription of HIV RNA'],162589
133,['CDT1 association with the CDC6:ORC:origin complex'],68827
134,['Nonsense-Mediated Decay (NMD)'],927802
135,['Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)'],975957
136,['ATF6 (ATF6-alpha) activates chaperone genes'],381183
137,['Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)'],975956
138,['HDR through Single Strand Annealing (SSA)'],5685938
139,['Transcriptional regulation by small RNAs'],5578749
140,['Activation of the pre-replicative complex'],68962
141,['DNA Damage/Telomere Stress Induced Senescence'],2559586
142,['Regulation of TP53 Activity through Association with Co-factors'],6804759
143,['FGFR2 alternative splicing'],6803529
144,['TP53 Regulates Metabolic Genes'],5628897
145,['Small interfering RNA (siRNA) biogenesis'],426486
146,['HDR through Homologous Recombination (HRR)'],5685942
147,['MicroRNA (miRNA) biogenesis'],203927
148,['Dual Incision in GG-NER'],5696400
149,['Resolution of D-loop Structures through Holliday Junction Intermediates'],5693568
150,['Signaling by MET'],6806834
151,['mitochondrial fatty acid beta-oxidation of saturated fatty acids'],77286
152,['mitochondrial fatty acid beta-oxidation of unsaturated fatty acids'],77288
153,['Purine ribonucleoside monophosphate biosynthesis'],73817
154,"['Cholesterol biosynthesis via desmosterol', 'Bloch pathway']",6807047
155,"['Cholesterol biosynthesis via lathosterol', 'Kandutsch-Russell pathway']",6807062
156,['RNA Polymerase I Transcription Initiation'],73762
157,['Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)'],2142670
158,['SUMOylation of DNA replication proteins'],4615885
159,['The AIM2 inflammasome'],844615
160,['Synthesis of Hepoxilins (HX) and Trioxilins (TrX)'],2142696
161,['Defective Base Excision Repair Associated with NEIL1'],9616334
162,['Autophagy'],9612973
163,['Sealing of the nuclear envelope (NE) by ESCRT-III'],9668328
164,['Recognition of DNA damage by PCNA-containing replication complex'],110314
165,['ALKBH3 mediated reversal of alkylation damage'],112126
166,['Gap junction trafficking and regulation'],157858
167,['DNA Repair'],73894
168,['RUNX2 regulates chondrocyte maturation'],8941284
169,['Cholesterol biosynthesis'],191273
170,['Diseases of Mismatch Repair (MMR)'],5423599
171,['TLR3 deficiency - HSE'],5602410
172,['Transcription from mitochondrial promoters'],75944
173,"['Regulation of lipid metabolism by PPARalpha', 'Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)']",400206
174,['alpha-linolenic (omega3) and linoleic (omega6) acid metabolism'],2046104
175,['Biosynthesis of DPA-derived SPMs'],9018683
176,['Nucleobase biosynthesis'],8956320
177,['Homologous DNA Pairing and Strand Exchange'],5693579
178,['HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)'],5693567
179,['Toll Like Receptor 7/8 (TLR7/8) Cascade'],168181
180,['TP53 Regulates Transcription of DNA Repair Genes'],6796648
181,['Response of EIF2AK4 (GCN2) to amino acid deficiency'],9633012
182,['Glutathione conjugation'],156590
183,['Defective Base Excision Repair Associated with NTHL1'],9616333
184,['OAS antiviral response'],8983711
185,['Gap junction trafficking'],190828
186,['Regulation of TP53 Degradation'],6804757
187,['Regulation of TP53 Activity through Phosphorylation'],6804756
188,['HCMV Infection'],9609646
189,['HDMs demethylate histones'],3214842
190,['Macroautophagy'],1632852
191,['Signaling by FGFR1 amplification mutants'],1839120
192,['FGFR1 mutant receptor activation'],1839124
193,['Signaling by activated point mutants of FGFR1'],1839122
194,['Signaling by FGFR2 amplification mutants'],2023837
195,['Signaling by FGFR in disease'],1226099
196,['Signaling by cytosolic FGFR1 fusion mutants'],1839117
197,['FGFR2 mutant receptor activation'],1839126
198,['Aflatoxin activation and detoxification'],5423646
199,['Signaling by FGFR1 in disease'],5655302
200,['TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain'],6803205
201,['TP53 Regulates Transcription of Cell Death Genes'],5633008
202,['Transcriptional regulation by RUNX3'],8878159
203,['Drug resistance of PDGFR mutants'],9674415
204,['Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects'],9646304
205,['Evasion of Oncogene Induced Senescence Due to p14ARF Defects'],9646303
206,['rRNA modification in the nucleus and cytosol'],6790901
207,['VEGFR2 mediated vascular permeability'],5218920
208,['Cell surface interactions at the vascular wall'],202733
209,['VEGF binds to VEGFR leading to receptor dimerization'],195399
210,['VEGF ligand-receptor interactions'],194313
211,['VEGFR2 mediated cell proliferation'],5218921
212,"['Signaling by VEGF', 'Signaling by Vascular Epithelial Growth Factors (VEGF)']",194138
213,['VEGFA-VEGFR2 Pathway'],4420097
214,"['Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation']",1474151
215,['Syndecan interactions'],3000170
216,['cGMP effects'],418457
217,['Negative regulation of NOTCH4 signaling'],9604323
218,['Detoxification of Reactive Oxygen Species'],3299685
219,"['Ca2+ activated K+ channels', 'Ca activated K+ channels']",1296052
220,['NOTCH4 Intracellular Domain Regulates Transcription'],9013695
221,['RHO GTPases Activate NADPH Oxidases'],5668599
222,['Signaling by NOTCH4'],9013694
223,['STING mediated induction of host immune responses'],1834941
224,"['Signal Transduction', 'Signaling Pathways']",162582
225,['Signaling by NOTCH3'],9012852
226,['NOTCH1 Intracellular Domain Regulates Transcription'],2122947
227,['Drug-mediated inhibition of ERBB2 signaling'],9652282
228,['Platelet homeostasis'],418346
229,['Signaling by PTK6'],8848021
230,['Platelet Aggregation (Plug Formation)'],76009
231,['Formation of Fibrin Clot (Clotting Cascade)'],140877
232,['Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)'],5619111
233,['Nucleotide-like (purinergic) receptors'],418038
234,['Prostacyclin signalling through prostacyclin receptor'],392851
235,['ATP sensitive Potassium channels'],1296025
236,['Signaling by NOTCH1'],1980143
237,['Neddylation'],8951664
238,['Biosynthesis of maresins'],9018682
239,"['Hemostasis', 'Blood coagulation']",109582
240,['PECAM1 interactions'],210990
241,['Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)'],5579032
242,['Signal amplification'],392518
243,['Synthesis of Leukotrienes (LT) and Eoxins (EX)'],2142691
244,['Hyaluronan uptake and degradation'],2160916
245,['NOTCH4 Activation and Transmission of Signal to the Nucleus'],9013700
246,['Signaling by PDGFR in disease'],9671555
247,['Platelet degranulation '],114608
248,['Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell'],198933
249,['Biosynthesis of DPAn-3-derived 13-series resolvins'],9026403
250,['Integrin signaling'],354192
251,['Platelet Adhesion to exposed collagen'],75892
252,['Collagen formation'],1474290
253,['Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)'],5655799
254,"['Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)']",5619048
255,"['Synthesis, secretion, and deacylation of Ghrelin']",422085
256,['Complement cascade'],166658
257,['Serotonin and melatonin biosynthesis'],209931
258,['Metabolism of amine-derived hormones'],209776
259,['Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)'],9036092
260,"['Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)']",5619099
261,['Postsynaptic nicotinic acetylcholine receptors'],622327
262,['Axon guidance'],422475
263,['Signaling by Leptin'],2586552
264,"['Cellular response to hypoxia', 'Regulation of Hypoxia-inducible Factor (HIF) by oxygen']",1234174
265,['RAS signaling downstream of NF1 loss-of-function variants'],6802953
266,['Defective SLC26A4 causes Pendred syndrome (PDS)'],5619046
267,['Signaling by ROBO receptors'],376176
268,['Scavenging by Class A Receptors'],3000480
269,['Defective SLC33A1 causes spastic paraplegia 42 (SPG42)'],5619061
270,['IRAK1 recruits IKK complex'],937039
271,['IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation'],975144
272,['Mitochondrial biogenesis'],1592230
273,['Assembly and cell surface presentation of NMDA receptors'],9609736
274,['Amino acids regulate mTORC1'],9639288
275,['Antigen activates B Cell Receptor (BCR) leading to generation of second messengers'],983695
276,['Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells'],210746
277,['Diseases of signal transduction by growth factor receptors and second messengers'],5663202
278,['Fatty acid metabolism'],8978868
279,['Fructose biosynthesis'],5652227
280,['Serotonin Neurotransmitter Release Cycle'],181429
281,['Acetylcholine Neurotransmitter Release Cycle'],264642
282,['Activation of C3 and C5'],174577
283,['cRNA Synthesis'],192869
284,"[""S33 mutants of beta-catenin aren't phosphorylated""]",5358747
285,['APC truncation mutants have impaired AXIN binding'],5467337
286,['Diseases of carbohydrate metabolism'],5663084
287,['TRAF3 deficiency - HSE'],5602571
288,['Acetylcholine binding and downstream events'],181431
289,['FRS-mediated FGFR3 signaling'],5654706
290,['FRS-mediated FGFR1 signaling'],5654693
291,['FRS-mediated FGFR4 signaling'],5654712
292,['FRS-mediated FGFR2 signaling'],5654700
293,['Pregnenolone biosynthesis'],196108
294,['Bicarbonate transporters'],425381
295,['Postmitotic nuclear pore complex (NPC) reformation'],9615933
296,['Nuclear Pore Complex (NPC) Disassembly'],3301854
297,['Negative regulation of TCF-dependent signaling by DVL-interacting proteins'],5368598
298,['IRF3-mediated induction of type I IFN'],3270619
299,['Cell-Cell communication'],1500931
300,['Metallothioneins bind metals'],5661231
301,['CHL1 interactions'],447041
302,"['Minus-strand DNA synthesis', 'minus-strand DNA synthesis']",164516
303,['Plus-strand DNA synthesis'],164525
304,['RNA Polymerase II Transcription'],73857
305,['Muscarinic acetylcholine receptors'],390648
306,"['Defective CHST6 causes MCDC1', 'Defective CHST6 causes macular corneal dystrophy, type 1']",3656225
307,['HDL assembly'],8963896
308,"['Pyruvate metabolism', 'Cori Cycle (interconversion of glucose and lactate)']",70268
309,"['Synthesis of very long-chain fatty acyl-CoAs', 'Conversion of palmitic acid to very long chain fatty acyl-CoAs']",75876
310,['Chaperonin-mediated protein folding'],390466
311,"['Signaling by NTRKs', 'Signaling by Neurotrophin Receptors']",166520
312,['Ubiquinol biosynthesis'],2142789
313,['Activation of NMDA receptors and postsynaptic events'],442755
314,"['GABA synthesis, release, reuptake and degradation']",888590
315,['Antigen processing: Ubiquitination & Proteasome degradation'],983168
316,['C-type lectin receptors (CLRs)'],5621481
317,['Defective DHDDS causes retinitis pigmentosa 59'],4755609
318,['O-linked glycosylation of mucins'],913709
319,['Glycogen storage diseases'],3229121
320,['MPS IIIC - Sanfilippo syndrome C'],2206291
321,['MPS IV - Morquio syndrome B'],2206308
322,['Intestinal saccharidase deficiencies'],5659898
323,"['Metabolism of porphyrins', 'Porphyrin metabolism']",189445
324,['HDL remodeling'],8964058
325,['Mitochondrial transcription termination'],163316
326,['Triglyceride metabolism'],8979227
327,['Biosynthesis of maresin conjugates in tissue regeneration (MCTR)'],9026762
328,['Activated NOTCH1 Transmits Signal to the Nucleus'],2122948
329,['WNT mediated activation of DVL'],201688
330,"['Activation of AKT2', 'Activation of PKB']",165158
331,['Recycling pathway of L1'],437239
332,"['Extrinsic Pathway of Fibrin Clot Formation', 'Generation of extrinsic Factor X activating complex']",140834
333,['truncated APC mutants destabilize the destruction complex'],4839744
334,['Interferon Signaling'],913531
335,['MHC class II antigen presentation'],2132295
336,['Signaling by NTRK2 (TRKB)'],9006115
337,"[""Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models""]",8862803
338,"['Transport of bile salts and organic acids, metal ions and amine compounds']",425366
339,['UNC93B1 deficiency - HSE'],5602415
340,"['Triglyceride catabolism', 'Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis']",163560
341,['Intra-Golgi and retrograde Golgi-to-ER traffic'],6811442
342,"['Signaling by TGF-beta Receptor Complex', 'Transforming Growth Factor (TGF) beta signaling']",170834
343,['Asparagine N-linked glycosylation'],446203
344,"['Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways']",168643
345,['Expression and Processing of Neurotrophins'],9036866
346,['Transcriptional regulation of pluripotent stem cells'],452723
347,['Cilium Assembly'],5617833
348,['Aquaporin-mediated transport'],445717
349,['Passive transport by Aquaporins'],432047
350,['SLC-mediated transmembrane transport'],425407
351,['Assembly of collagen fibrils and other multimeric structures'],2022090
352,['Variant SLC6A14 may confer susceptibility towards obesity'],5619094
353,['Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria'],5659729
354,['Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria'],5619079
355,['Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)'],5619107
356,['DNA Damage Recognition in GG-NER'],5696394
357,['Intraflagellar transport'],5620924
358,['Cargo trafficking to the periciliary membrane'],5620920
359,['IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)'],5603027
360,['Olfactory Signaling Pathway'],381753
361,"['Activation, myristolyation of BID and translocation to mitochondria', 'Activation of BID and translocation to mitochondria']",75108
362,['Highly calcium permeable postsynaptic nicotinic acetylcholine receptors'],629594
363,['MET activates STAT3'],8875791
364,"[""mRNA decay by 5' to 3' exoribonuclease""]",430039
365,['Cellular Senescence'],2559583
366,['Caspase-mediated cleavage of cytoskeletal proteins'],264870
367,['Activation and oligomerization of BAK protein'],111452
368,['FGFR3c ligand binding and activation'],190372
369,['FGFR3b ligand binding and activation'],190371
370,['FGFR1c ligand binding and activation'],190373
371,['FGFR1b ligand binding and activation'],190370
372,['Resolution of D-Loop Structures'],5693537
373,['Regulation of necroptotic cell death'],5675482
374,['FGFR2c ligand binding and activation'],190375
375,['FGFR2b ligand binding and activation'],190377
376,['Autodegradation of Cdh1 by Cdh1:APC/C'],174084
377,['Non-integrin membrane-ECM interactions'],3000171
378,['Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)'],1299308
379,['Endosomal/Vacuolar pathway'],1236977
380,['Toll Like Receptor 2 (TLR2) Cascade'],181438
381,['Role of second messengers in netrin-1 signaling'],418890
382,['Signaling by Non-Receptor Tyrosine Kinases'],9006927
383,['GABA synthesis'],888568
384,['Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes'],170145
385,"['Activation, translocation and oligomerization of BAX']",114294
386,['NADE modulates death signalling'],205025
387,['Regulation of Apoptosis'],169911
388,['Toll Like Receptor 10 (TLR10) Cascade'],168142
389,['Synthesis of CL'],1483076
390,"['SUMO is transferred from E1 to E2 (UBE2I, UBC9)']",3065678
391,['Josephin domain DUBs'],5689877
392,['Scavenging by Class F Receptors'],3000484
393,['Phase II - Conjugation of compounds'],156580
394,['Diseases of Immune System'],5260271
395,['COPI-independent Golgi-to-ER retrograde traffic'],6811436
396,['Lipophagy'],9613354
397,['Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components'],141405
398,['PTK6 Activates STAT3'],8849474
399,"['PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases']",8849471
400,['PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1'],8849469
401,['Degradation of AXIN'],4641257
402,['p38MAPK events'],171007
403,"['Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.']",163200
404,['Dermatan sulfate biosynthesis'],2022923
405,['FGFRL1 modulation of FGFR1 signaling'],5658623
406,['NFG and proNGF binds to p75NTR'],205017
407,['Activated NTRK3 signals through RAS'],9034864
408,['RUNX1 regulates expression of components of tight junctions'],8935964
409,['Signaling by FGFR2 IIIa TM'],8851708
410,['Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC'],3359474
411,['Defective MMAB causes methylmalonic aciduria type cblB'],3359471
412,['CYP2E1 reactions'],211999
413,"['Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)']",5579011
414,"['Defective PAPSS2 causes SEMD-PA', 'Defective PAPSS2 causes spondyloepimetaphyseal dysplasia Pakistani type']",3560796
415,['ABC transporters in lipid homeostasis'],1369062
416,"['Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)']",5619058
417,['Glycerophospholipid catabolism'],6814848
418,['SUMOylation of transcription factors'],3232118
419,['Golgi-to-ER retrograde transport'],8856688
420,['Nuclear signaling by ERBB4'],1251985
421,['Retrograde neurotrophin signalling'],177504
422,['Signalling to ERK5'],198765
423,['Phosphate bond hydrolysis by NUDT proteins'],2393930
424,['Death Receptor Signalling'],73887
425,['MET activates RAS signaling'],8851805
426,['Release of Hh-Np from the secreting cell'],5362798
427,['Synthesis of glycosylphosphatidylinositol (GPI)'],162710
428,['InlA-mediated entry of Listeria monocytogenes into host cells'],8876493
429,['Nectin/Necl  trans heterodimerization'],420597
430,['PD-1 signaling'],389948
431,['PI3K/AKT activation'],198203
432,['Inhibition of TSC complex formation by PKB'],165181
433,['NOSTRIN mediated eNOS trafficking'],203641
434,['Post NMDA receptor activation events'],438064
435,"['Unblocking of NMDA receptors, glutamate binding and activation']",438066
436,['Metal sequestration by antimicrobial proteins'],6799990
437,['Estrogen-dependent nuclear events downstream of ESR-membrane signaling'],9634638
438,['MET activates PTPN11'],8865999
439,['Inactivation of CDC42 and RAC1'],428543
440,['Negative regulation of activity of TFAP2 (AP-2) family transcription factors'],8866904
441,['RUNX3 regulates CDKN1A transcription'],8941855
442,['Nef and signal transduction'],164944
443,['Inhibition of IFN-beta'],168888
444,['Signaling by FGFR2 fusions'],8853333
445,['TGFBR2 Kinase Domain Mutants in Cancer'],3645790
446,['Dopamine receptors'],390651
447,['Intracellular metabolism of fatty acids regulates insulin secretion'],434313
448,['Recycling of eIF2:GDP'],72731
449,['Regulation of gap junction activity'],191650
450,['Transport of connexons to the plasma membrane'],190872
451,['Condensation of Prometaphase Chromosomes'],2514853
452,['WNT ligand biogenesis and trafficking'],3238698
453,"['Mismatch Repair', 'MMR']",5358508
454,['Listeria monocytogenes entry into host cells'],8876384
455,['tRNA processing in the nucleus'],6784531
456,['Senescence-Associated Secretory Phenotype (SASP)'],2559582
457,['G2/M Checkpoints'],69481
458,['Cyclin D associated events in G1'],69231
459,['Stimulation of the cell death response by PAK-2p34'],211736
460,['Activation of BH3-only proteins'],114452
461,['ER to Golgi Anterograde Transport'],199977
462,['SHC-mediated cascade:FGFR3'],5654704
463,['FGFR1 ligand binding and activation'],190242
464,['SHC-mediated cascade:FGFR1'],5654688
465,['SHC-mediated cascade:FGFR4'],5654719
466,['NGF-independant TRKA activation'],187024
467,['TP53 Regulates Transcription of Death Receptors and Ligands'],6803211
468,['Regulation of TNFR1 signaling'],5357905
469,['TRIF-mediated programmed cell death'],2562578
470,['Toll Like Receptor 9 (TLR9) Cascade'],168138
471,['STAT6-mediated induction of chemokines'],3249367
472,['TLR3-mediated TICAM1-dependent programmed cell death'],9013957
473,['Activated NTRK2 signals through FYN'],9032500
474,['SHC-mediated cascade:FGFR2'],5654699
475,['Cell recruitment (pro-inflammatory response)'],9664424
476,['Vpu mediated degradation of CD4'],180534
477,['Constitutive Signaling by Overexpressed ERBB2'],9634285
478,['Defective SLC5A2 causes renal glucosuria (GLYS1)'],5658208
479,['Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template'],110313
480,['Synthesis of wybutosine at G37 of tRNA(Phe)'],6782861
481,['rRNA modification in the mitochondrion'],6793080
482,['Sperm Motility And Taxes'],1300642
483,['TP53 Regulates Transcription of Cell Cycle Genes'],6791312
484,['Negative regulation of TCF-dependent signaling by WNT ligand antagonists'],3772470
485,['TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain'],6804115
486,['TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest'],6804116
487,"['Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)', 'Regulation of IGF Activity by IGFBP']",381426
