,pathwayID,numbers
101,R-HSA-9680812,2
102,R-HSA-9683634,1
103,R-HSA-70333,1
104,R-HSA-2468039,1
105,R-HSA-164616,2
106,R-HSA-9680811,2
107,R-HSA-6782131,2
108,R-HSA-9684118,2
109,R-HSA-1981104,3
110,R-HSA-9683393,1
111,R-HSA-9678128,1
112,R-HSA-9684018,1
113,R-HSA-9684017,1
114,R-HSA-9684016,1
115,R-HSA-5656438,3
116,R-HSA-1839094,2
117,R-HSA-5655244,3
118,R-HSA-5655343,3
119,R-HSA-5655313,3
120,R-HSA-5618328,2
121,R-HSA-5658438,1
122,R-HSA-5685994,1
123,R-HSA-5610723,3
124,R-HSA-9022625,1
125,R-HSA-507870,2
126,R-HSA-2186643,1
127,R-HSA-113402,3
128,R-HSA-8851018,3
129,R-HSA-167085,3
130,R-HSA-9017921,1
131,R-HSA-507868,2
132,R-HSA-9681763,1
133,R-HSA-163096,1
134,R-HSA-9022315,2
135,R-HSA-8874435,1
136,R-HSA-8868230,1
137,R-HSA-9634834,2
138,R-HSA-8951664,2
139,R-HSA-1222755,1
140,R-HSA-9637699,1
141,R-HSA-9636457,1
142,R-HSA-1222363,1
143,R-HSA-9635667,1
144,R-HSA-9635666,1
145,R-HSA-1222469,1
146,R-HSA-1222462,1
147,R-HSA-1222523,1
148,R-HSA-1222738,1
149,R-HSA-1222722,1
150,R-HSA-1222641,1
151,R-HSA-8951549,1
152,R-HSA-1222325,1
153,R-HSA-8951552,1
154,R-HSA-1500817,1
155,R-HSA-1222712,1
156,R-HSA-1222655,1
157,R-HSA-1222417,1
158,R-HSA-1222644,1
159,R-HSA-1222485,1
160,R-HSA-9636461,1
161,R-HSA-9635446,1
162,R-HSA-9635609,1
163,R-HSA-1222384,1
164,R-HSA-1222704,1
165,R-HSA-1222341,1
166,R-HSA-1222526,1
167,R-HSA-1222597,1
168,R-HSA-1562604,1
169,R-HSA-1222399,1
170,R-HSA-1500804,1
171,R-HSA-1222431,1
172,R-HSA-9636397,1
173,R-HSA-9636242,1
174,R-HSA-9636247,1
175,R-HSA-9636251,1
176,R-HSA-9636240,1
177,R-HSA-9636261,1
178,R-HSA-9636439,1
179,R-HSA-9636375,1
180,R-HSA-9636404,1
181,R-HSA-9636658,1
182,R-HSA-9636669,1
183,R-HSA-9635424,1
184,R-HSA-9636304,1
185,R-HSA-9635461,1
186,R-HSA-9636297,1
187,R-HSA-9636296,1
188,R-HSA-9636560,1
189,R-HSA-9637651,1
190,R-HSA-9637635,1
191,R-HSA-9637638,1
192,R-HSA-9637605,1
193,R-HSA-8852509,1
194,R-HSA-1222723,1
195,R-HSA-9637641,1
196,R-HSA-1562603,1
197,R-HSA-1500781,1
198,R-HSA-9636684,1
199,R-HSA-1222342,1
200,R-HSA-1470073,1
201,R-HSA-1222346,1
202,R-HSA-1222594,1
203,R-HSA-1222583,1
204,R-HSA-1500761,1
205,R-HSA-1222690,1
206,R-HSA-1222412,1
207,R-HSA-9636396,1
208,R-HSA-9636564,1
209,R-HSA-1222685,1
210,R-HSA-1222686,1
211,R-HSA-2130627,2
212,R-HSA-5621606,1
213,R-HSA-6789160,1
214,R-HSA-6789077,1
215,R-HSA-1222662,1
216,R-HSA-1222411,1
217,R-HSA-5621573,1
218,R-HSA-3244614,1
219,R-HSA-3244647,1
220,R-HSA-168950,1
221,R-HSA-5621352,1
222,R-HSA-6806732,1
223,R-HSA-6807578,1
224,R-HSA-6810724,1
225,R-HSA-9024386,1
226,R-HSA-977136,6
227,R-HSA-388560,3
228,R-HSA-9684068,4
229,R-HSA-5576895,3
230,R-HSA-5577237,1
231,R-HSA-5577050,3
232,R-HSA-5577213,1
233,R-HSA-9613219,3
234,R-HSA-9615249,9
235,R-HSA-9614933,10
236,R-HSA-9621032,1
237,R-HSA-9621048,1
238,R-HSA-164508,1
239,R-HSA-3000103,2
240,R-HSA-426086,1
241,R-HSA-9611277,10
242,R-HSA-1483218,2
243,R-HSA-452958,1
244,R-HSA-9673757,2
245,R-HSA-8986181,2
246,R-HSA-5624127,1
247,R-HSA-5624125,2
248,R-HSA-5602050,1
249,R-HSA-443997,1
250,R-HSA-5659764,1
251,R-HSA-380176,1
252,R-HSA-6787403,1
253,R-HSA-3828061,1
254,R-HSA-6799203,1
255,R-HSA-4755600,1
256,R-HSA-5659998,1
257,R-HSA-5659989,1
258,R-HSA-2995334,1
259,R-HSA-6786854,2
260,R-HSA-6785722,2
261,R-HSA-6787591,1
262,R-HSA-6787594,1
263,R-HSA-6793057,1
264,R-HSA-5691150,1
265,R-HSA-5655733,1
266,R-HSA-5655760,1
267,R-HSA-9008326,1
268,R-HSA-751027,1
269,R-HSA-5696482,1
270,R-HSA-9613210,1
271,R-HSA-9613213,1
272,R-HSA-8849969,1
273,R-HSA-8855111,1
274,R-HSA-8943987,2
275,R-HSA-8943959,5
276,R-HSA-8937419,2
277,R-HSA-6804425,1
278,R-HSA-8867667,1
279,R-HSA-2855020,1
280,R-HSA-9629675,1
281,R-HSA-879594,1
282,R-HSA-9611839,2
283,R-HSA-5638222,1
284,R-HSA-5656248,2
285,R-HSA-6802912,1
286,R-HSA-6803227,1
287,R-HSA-8981574,1
288,R-HSA-5656219,1
289,R-HSA-5623588,1
290,R-HSA-2744228,1
291,R-HSA-199626,2
292,R-HSA-426130,3
293,R-HSA-5096537,1
294,R-HSA-6785047,2
295,R-HSA-8937654,2
296,R-HSA-5210892,1
297,R-HSA-5210923,1
298,R-HSA-9651456,4
299,R-HSA-9651467,4
300,R-HSA-9650447,4
301,R-HSA-9653249,4
302,R-HSA-9655046,3
303,R-HSA-9679477,4
304,R-HSA-9025152,1
305,R-HSA-5211224,1
306,R-HSA-5210959,1
307,R-HSA-5210943,1
308,R-HSA-5210947,1
309,R-HSA-5210944,1
310,R-HSA-1912416,1
311,R-HSA-5693608,1
312,R-HSA-5687673,1
313,R-HSA-5687675,1
314,R-HSA-200555,1
315,R-HSA-9629232,1
316,R-HSA-430116,1
317,R-HSA-5623705,1
318,R-HSA-6790982,2
319,R-HSA-9673756,1
320,R-HSA-1855218,2
321,R-HSA-1839102,1
322,R-HSA-1839080,1
323,R-HSA-1839039,1
324,R-HSA-5626681,1
325,R-HSA-418904,3
326,R-HSA-6784628,4
327,R-HSA-8854462,2
328,R-HSA-8936519,3
329,R-HSA-176879,2
330,R-HSA-2396079,4
331,R-HSA-3779381,2
332,R-HSA-9603302,7
333,R-HSA-9015379,6
334,R-HSA-9015111,6
335,R-HSA-9015122,6
336,R-HSA-111919,5
337,R-HSA-9026967,9
338,R-HSA-198941,1
339,R-HSA-8852010,1
340,R-HSA-2396337,1
341,R-HSA-2514790,1
342,R-HSA-5632871,1
343,R-HSA-5688025,1
344,R-HSA-1678708,2
345,R-HSA-2090043,2
346,R-HSA-1678742,2
347,R-HSA-2090038,2
348,R-HSA-2263444,2
349,R-HSA-9036050,2
350,R-HSA-3781832,2
351,R-HSA-5602383,2
352,R-HSA-5602316,2
353,R-HSA-5632804,3
354,R-HSA-2023451,2
355,R-HSA-9683765,3
356,R-HSA-2029983,2
357,R-HSA-2424246,4
358,R-HSA-2681681,4
359,R-HSA-2681694,4
360,R-HSA-9657689,1
361,R-HSA-9657688,1
362,R-HSA-2466238,1
363,R-HSA-2327733,1
364,R-HSA-2731075,1
365,R-HSA-2466106,1
366,R-HSA-4084903,1
367,R-HSA-8944263,1
368,R-HSA-2429719,1
369,R-HSA-1467209,1
370,R-HSA-2213246,1
371,R-HSA-2172666,1
372,R-HSA-109638,1
373,R-HSA-1474196,1
374,R-HSA-2473594,1
375,R-HSA-9669854,1
376,R-HSA-9674095,1
377,R-HSA-1474197,1
378,R-HSA-532667,1
379,R-HSA-2294580,1
380,R-HSA-8856157,1
381,R-HSA-2130640,1
382,R-HSA-2130706,1
383,R-HSA-8873929,1
384,R-HSA-8850945,1
385,R-HSA-6788571,1
386,R-HSA-2299620,1
387,R-HSA-201443,1
388,R-HSA-6805573,1
389,R-HSA-6805546,1
390,R-HSA-2213208,1
391,R-HSA-9669900,1
392,R-HSA-216043,1
393,R-HSA-9674430,1
394,R-HSA-2213239,1
395,R-HSA-77071,1
396,R-HSA-167098,1
397,R-HSA-109637,1
398,R-HSA-75949,1
399,R-HSA-75861,1
400,R-HSA-548890,1
401,R-HSA-167072,1
402,R-HSA-6781840,1
403,R-HSA-2213248,1
404,R-HSA-1475422,1
405,R-HSA-2294590,1
406,R-HSA-2294600,1
407,R-HSA-168883,1
408,R-HSA-5601926,1
409,R-HSA-167083,1
410,R-HSA-112383,1
411,R-HSA-2213240,1
412,R-HSA-2288097,1
413,R-HSA-6781833,1
414,R-HSA-203901,1
415,R-HSA-391372,1
416,R-HSA-2130336,1
417,R-HSA-113407,1
418,R-HSA-77069,1
419,R-HSA-167128,1
420,R-HSA-6786110,1
421,R-HSA-2327695,1
422,R-HSA-2213205,1
423,R-HSA-173483,1
424,R-HSA-9012319,1
425,R-HSA-2213210,1
426,R-HSA-992708,1
427,R-HSA-4084910,1
428,R-HSA-9012315,1
429,R-HSA-167192,1
430,R-HSA-113411,1
431,R-HSA-167282,1
432,R-HSA-113414,1
433,R-HSA-2130478,1
434,R-HSA-6781818,1
435,R-HSA-6781824,1
436,R-HSA-113412,1
437,R-HSA-1497853,1
438,R-HSA-167084,1
439,R-HSA-6797606,1
440,R-HSA-6814554,1
441,R-HSA-167076,1
442,R-HSA-6797616,1
443,R-HSA-112381,1
444,R-HSA-5668978,1
445,R-HSA-77073,1
446,R-HSA-167153,1
447,R-HSA-167191,1
448,R-HSA-981814,1
449,R-HSA-392752,1
450,R-HSA-2396370,1
451,R-HSA-1475436,1
452,R-HSA-3149492,1
453,R-HSA-3149494,1
454,R-HSA-3204318,1
455,R-HSA-2465890,1
456,R-HSA-1225894,1
457,R-HSA-1181156,1
458,R-HSA-2327909,1
459,R-HSA-2294574,1
460,R-HSA-1475435,1
461,R-HSA-3149518,1
462,R-HSA-202967,1
463,R-HSA-6810238,1
464,R-HSA-167090,1
465,R-HSA-167284,1
466,R-HSA-113430,1
467,R-HSA-6810233,1
468,R-HSA-167111,1
469,R-HSA-167118,1
470,R-HSA-6810235,1
471,R-HSA-2327738,1
472,R-HSA-3149560,1
473,R-HSA-3149563,1
474,R-HSA-3318563,1
475,R-HSA-6786650,1
476,R-HSA-446130,1
477,R-HSA-3642203,1
478,R-HSA-427645,1
479,R-HSA-198845,1
480,R-HSA-5602242,1
481,R-HSA-5602885,1
482,R-HSA-5610026,1
483,R-HSA-170861,1
484,R-HSA-5688884,1
485,R-HSA-5600598,1
486,R-HSA-6785245,1
487,R-HSA-6785244,1
488,R-HSA-5658483,1
489,R-HSA-6814549,1
490,R-HSA-6814559,1
491,R-HSA-5444523,1
492,R-HSA-5444516,1
493,R-HSA-5444511,1
494,R-HSA-170846,1
495,R-HSA-193758,1
496,R-HSA-192036,1
497,R-HSA-192160,1
498,R-HSA-193841,1
499,R-HSA-193800,1
500,R-HSA-193781,1
501,R-HSA-5651971,1
502,R-HSA-198824,1
503,R-HSA-2172433,1
504,R-HSA-5621402,2
505,R-HSA-9605600,2
506,R-HSA-9629245,1
507,R-HSA-452392,2
508,R-HSA-71397,1
509,R-HSA-442291,1
510,R-HSA-442314,1
511,R-HSA-73815,1
512,R-HSA-109624,1
513,R-HSA-351222,1
514,R-HSA-73571,1
515,R-HSA-73573,1
516,R-HSA-73577,1
517,R-HSA-6802837,1
518,R-HSA-5210932,1
519,R-HSA-5210909,1
520,R-HSA-111253,1
521,R-HSA-110368,1
522,R-HSA-110364,1
523,R-HSA-114671,1
524,R-HSA-442273,1
525,R-HSA-5696947,1
526,R-HSA-5687090,1
527,R-HSA-5687099,1
528,R-HSA-5687097,1
529,R-HSA-9036289,1
530,R-HSA-3656254,1
531,R-HSA-9036290,1
532,R-HSA-3656267,1
533,R-HSA-70342,1
534,R-HSA-5336453,1
535,R-HSA-5661184,1
536,R-HSA-194808,1
537,R-HSA-5250892,1
538,R-HSA-2404133,1
539,R-HSA-9036729,1
540,R-HSA-167478,1
541,R-HSA-445113,1
542,R-HSA-2022383,1
543,R-HSA-3315455,1
544,R-HSA-5577244,1
545,R-HSA-5577259,1
546,R-HSA-5545484,1
547,R-HSA-71495,1
548,R-HSA-2404135,1
549,R-HSA-2466828,1
550,R-HSA-5632958,1
551,R-HSA-5617182,1
552,R-HSA-5621888,1
553,R-HSA-2130349,1
554,R-HSA-194800,1
555,R-HSA-167197,1
556,R-HSA-167196,1
557,R-HSA-113409,1
558,R-HSA-113413,1
559,R-HSA-167148,1
560,R-HSA-167288,1
561,R-HSA-186834,1
562,R-HSA-168915,1
563,R-HSA-194818,1
564,R-HSA-448744,1
565,R-HSA-5340124,1
566,R-HSA-5578883,5
567,R-HSA-167147,1
568,R-HSA-112396,1
569,R-HSA-112392,1
570,R-HSA-167150,1
571,R-HSA-167481,1
572,R-HSA-112395,1
573,R-HSA-167292,1
574,R-HSA-167459,1
575,R-HSA-1237119,1
576,R-HSA-167181,1
577,R-HSA-76576,1
578,R-HSA-167117,1
579,R-HSA-112385,1
580,R-HSA-113429,1
581,R-HSA-1676206,1
582,R-HSA-5649742,1
583,R-HSA-75095,1
584,R-HSA-109639,1
585,R-HSA-374173,1
586,R-HSA-9624778,1
587,R-HSA-3296462,1
588,R-HSA-73794,1
589,R-HSA-140806,1
590,R-HSA-140870,1
591,R-HSA-140791,1
592,R-HSA-140872,1
593,R-HSA-189421,1
594,R-HSA-5602984,1
595,R-HSA-9035966,1
596,R-HSA-5602966,1
597,R-HSA-5603208,1
598,R-HSA-5603379,1
599,R-HSA-5602901,1
600,R-HSA-5624239,1
601,R-HSA-5624211,1
602,R-HSA-2213241,1
603,R-HSA-3296477,1
604,R-HSA-2130504,1
605,R-HSA-1675780,1
606,R-HSA-5250986,1
607,R-HSA-3645780,1
608,R-HSA-8951500,1
609,R-HSA-6783221,1
610,R-HSA-5632993,1
611,R-HSA-200729,1
612,R-HSA-200646,1
613,R-HSA-5660706,1
614,R-HSA-8856223,1
615,R-HSA-167097,1
616,R-HSA-4084501,1
617,R-HSA-112379,1
618,R-HSA-111264,1
619,R-HSA-167115,1
620,R-HSA-75873,1
621,R-HSA-167136,1
622,R-HSA-1458433,1
623,R-HSA-2130731,1
624,R-HSA-1675928,1
625,R-HSA-5634104,1
626,R-HSA-5334827,1
627,R-HSA-1855213,1
628,R-HSA-5668932,1
629,R-HSA-77077,1
630,R-HSA-167121,1
631,R-HSA-75850,1
632,R-HSA-75869,1
633,R-HSA-167113,1
634,R-HSA-2473596,1
635,R-HSA-75864,1
636,R-HSA-75866,1
637,R-HSA-201457,1
638,R-HSA-508561,1
639,R-HSA-70952,1
640,R-HSA-9615348,1
641,R-HSA-2012084,2
642,R-HSA-4332236,1
643,R-HSA-4332235,1
644,R-HSA-4332358,1
645,R-HSA-4332363,1
646,R-HSA-77333,1
647,R-HSA-77344,1
648,R-HSA-77256,1
649,R-HSA-77314,1
650,R-HSA-77325,1
651,R-HSA-893583,1
652,R-HSA-3782655,1
653,R-HSA-167134,1
654,R-HSA-167130,1
655,R-HSA-5695964,1
656,R-HSA-8987043,1
657,R-HSA-5651942,1
658,R-HSA-2022411,1
659,R-HSA-83791,1
660,R-HSA-170843,1
661,R-HSA-4793955,1
662,R-HSA-2213244,1
663,R-HSA-1564164,2
664,R-HSA-193064,1
665,R-HSA-70377,1
666,R-HSA-186826,1
667,R-HSA-6800816,1
668,R-HSA-198513,1
669,R-HSA-9014342,1
670,R-HSA-194809,1
671,R-HSA-5250606,1
672,R-HSA-3229118,1
673,R-HSA-8982163,1
674,R-HSA-8982165,1
675,R-HSA-2161964,1
676,R-HSA-4088338,1
677,R-HSA-4088322,1
678,R-HSA-2520883,1
679,R-HSA-9669893,1
680,R-HSA-9674093,1
681,R-HSA-525833,1
682,R-HSA-1564143,1
683,R-HSA-2214324,1
684,R-HSA-1614460,1
685,R-HSA-8944220,1
686,R-HSA-8944223,1
687,R-HSA-8944218,1
688,R-HSA-8944219,1
689,R-HSA-8944229,1
690,R-HSA-8944230,1
691,R-HSA-8944225,1
692,R-HSA-8944227,1
693,R-HSA-8944215,1
694,R-HSA-8944216,1
695,R-HSA-8944214,1
696,R-HSA-8944257,1
697,R-HSA-8944261,1
698,R-HSA-8944254,1
699,R-HSA-8944255,1
700,R-HSA-8944265,1
701,R-HSA-8944266,1
702,R-HSA-8944262,1
703,R-HSA-8944236,1
704,R-HSA-8944240,1
705,R-HSA-2002401,1
706,R-HSA-8944232,1
707,R-HSA-8944233,1
708,R-HSA-8944247,1
709,R-HSA-8944250,1
710,R-HSA-8944242,1
711,R-HSA-8944246,1
712,R-HSA-4086204,1
713,R-HSA-76052,1
714,R-HSA-83788,1
715,R-HSA-2130725,1
716,R-HSA-5653596,1
717,R-HSA-75862,1
718,R-HSA-3000112,1
719,R-HSA-1676185,1
720,R-HSA-5693783,2
721,R-HSA-975829,1
722,R-HSA-1474210,1
723,R-HSA-3656230,1
724,R-HSA-9035949,1
725,R-HSA-9035950,1
726,R-HSA-4793956,1
727,R-HSA-4793947,1
728,R-HSA-1237038,1
729,R-HSA-1247665,1
730,R-HSA-1855222,1
731,R-HSA-3299657,1
732,R-HSA-2076392,1
733,R-HSA-2022851,1
734,R-HSA-2022856,1
735,R-HSA-2022919,1
736,R-HSA-1482679,1
737,R-HSA-1482776,1
738,R-HSA-1675974,1
739,R-HSA-1977296,1
740,R-HSA-1973956,1
741,R-HSA-9007759,1
742,R-HSA-5671919,1
743,R-HSA-5218811,1
744,R-HSA-200410,1
745,R-HSA-71239,1
746,R-HSA-446208,1
747,R-HSA-9618785,1
748,R-HSA-6810937,1
749,R-HSA-112437,1
750,R-HSA-112434,1
751,R-HSA-109636,1
752,R-HSA-167484,1
753,R-HSA-947499,1
754,R-HSA-3000109,1
755,R-HSA-4549368,2
756,R-HSA-1482907,1
757,R-HSA-8848586,1
758,R-HSA-379861,1
759,R-HSA-379865,1
760,R-HSA-2473584,1
761,R-HSA-8952873,1
762,R-HSA-452036,1
763,R-HSA-4085033,1
764,R-HSA-975814,1
765,R-HSA-6807144,1
766,R-HSA-6807581,1
767,R-HSA-9613494,1
768,R-HSA-9613497,1
769,R-HSA-9613490,1
770,R-HSA-9613498,1
771,R-HSA-8869206,1
772,R-HSA-2130393,1
773,R-HSA-2213243,1
774,R-HSA-8873923,1
775,R-HSA-8873834,1
776,R-HSA-170706,1
777,R-HSA-170704,1
778,R-HSA-1564184,1
779,R-HSA-71496,1
780,R-HSA-216045,1
781,R-HSA-2172405,1
782,R-HSA-1564179,1
783,R-HSA-1474213,1
784,R-HSA-1454822,1
785,R-HSA-1564112,1
786,R-HSA-9603991,1
787,R-HSA-9603987,1
788,R-HSA-2167942,1
789,R-HSA-2168982,1
790,R-HSA-389826,1
791,R-HSA-1483186,1
792,R-HSA-1483089,1
793,R-HSA-392064,1
794,R-HSA-192417,1
795,R-HSA-265456,1
796,R-HSA-112429,1
797,R-HSA-3000074,1
798,R-HSA-4641345,1
799,R-HSA-450533,1
800,R-HSA-9035279,1
801,R-HSA-9035143,1
802,R-HSA-9031518,1
803,R-HSA-9031510,1
804,R-HSA-9031521,1
805,R-HSA-9031527,1
806,R-HSA-432707,1
807,R-HSA-421835,1
808,R-HSA-5684862,1
809,R-HSA-6810234,1
810,R-HSA-212352,1
811,R-HSA-2470555,1
812,R-HSA-1564142,1
813,R-HSA-201475,1
814,R-HSA-9674427,1
815,R-HSA-9669898,1
816,R-HSA-1564117,1
817,R-HSA-2471842,1
818,R-HSA-1564120,1
819,R-HSA-2168046,1
820,R-HSA-2485111,1
821,R-HSA-1564169,1
822,R-HSA-2482180,1
823,R-HSA-2168960,1
824,R-HSA-2484882,1
825,R-HSA-2168923,1
826,R-HSA-1475026,1
827,R-HSA-1475022,1
828,R-HSA-4085028,1
829,R-HSA-4085021,1
830,R-HSA-381503,1
831,R-HSA-2404200,1
832,R-HSA-2022381,1
833,R-HSA-6814409,1
834,R-HSA-2022399,1
835,R-HSA-2022379,1
836,R-HSA-419197,1
837,R-HSA-6811411,1
838,R-HSA-8868071,1
839,R-HSA-212380,1
840,R-HSA-1605797,1
841,R-HSA-1855202,1
842,R-HSA-1855180,1
843,R-HSA-1675961,1
844,R-HSA-1675939,1
845,R-HSA-1676024,1
846,R-HSA-69053,1
847,R-HSA-4332359,1
848,R-HSA-74248,1
849,R-HSA-1878002,1
850,R-HSA-964759,1
851,R-HSA-975919,1
852,R-HSA-204662,1
853,R-HSA-382096,1
854,R-HSA-1482539,1
855,R-HSA-1482635,1
856,R-HSA-428293,1
857,R-HSA-428287,1
858,R-HSA-8868072,1
859,R-HSA-70679,1
860,R-HSA-8987039,1
861,R-HSA-3928640,1
862,R-HSA-5603114,1
863,R-HSA-1168636,1
864,R-HSA-194793,1
865,R-HSA-9672177,1
866,R-HSA-9672172,1
867,R-HSA-8987084,1
868,R-HSA-8987096,1
869,R-HSA-1482868,1
870,R-HSA-1675813,1
871,R-HSA-2065357,2
872,R-HSA-2022403,2
873,R-HSA-9007707,1
874,R-HSA-203070,1
875,R-HSA-5218822,1
876,R-HSA-77338,1
877,R-HSA-77345,1
878,R-HSA-77263,1
879,R-HSA-77274,1
880,R-HSA-77299,1
881,R-HSA-77319,1
882,R-HSA-77327,1
883,R-HSA-197186,1
884,R-HSA-6784399,1
885,R-HSA-1889978,1
886,R-HSA-981658,1
887,R-HSA-1112602,1
888,R-HSA-112436,1
889,R-HSA-112435,1
890,R-HSA-167234,1
891,R-HSA-5244397,1
892,R-HSA-3000263,1
893,R-HSA-3656269,1
894,R-HSA-264848,1
895,R-HSA-1592371,1
896,R-HSA-2130500,1
897,R-HSA-1482745,1
898,R-HSA-8870457,1
899,R-HSA-917700,1
900,R-HSA-76060,1
901,R-HSA-112150,1
902,R-HSA-112152,1
903,R-HSA-114563,1
904,R-HSA-2130619,1
905,R-HSA-8951498,1
906,R-HSA-428127,1
907,R-HSA-1676109,1
908,R-HSA-9035517,1
909,R-HSA-5621425,1
910,R-HSA-2130641,1
911,R-HSA-1912415,4
912,R-HSA-73564,1
913,R-HSA-73567,1
914,R-HSA-4539779,1
915,R-HSA-4086216,1
916,R-HSA-2424243,1
917,R-HSA-400015,1
918,R-HSA-170868,1
919,R-HSA-201476,1
920,R-HSA-173512,1
921,R-HSA-2473511,1
922,R-HSA-2484965,1
923,R-HSA-4086223,1
924,R-HSA-9605682,1
925,R-HSA-9605700,1
926,R-HSA-9603986,1
927,R-HSA-9605609,1
928,R-HSA-9605644,1
929,R-HSA-3662318,1
930,R-HSA-399978,1
931,R-HSA-400046,1
932,R-HSA-428609,1
933,R-HSA-3787997,1
934,R-HSA-2328145,1
935,R-HSA-2426450,1
936,R-HSA-2559639,1
937,R-HSA-83790,1
938,R-HSA-6807866,1
939,R-HSA-212432,1
940,R-HSA-1482547,1
941,R-HSA-1482533,1
942,R-HSA-2046285,1
943,R-HSA-4084984,1
944,R-HSA-376419,1
945,R-HSA-947591,1
946,R-HSA-939763,1
947,R-HSA-2065355,2
948,R-HSA-2130378,1
949,R-HSA-2022405,2
950,R-HSA-2213236,1
951,R-HSA-1676164,1
952,R-HSA-448661,1
953,R-HSA-1676162,1
954,R-HSA-5662598,1
955,R-HSA-5683714,1
956,R-HSA-192627,1
957,R-HSA-5669013,1
958,R-HSA-372519,1
959,R-HSA-1482887,1
960,R-HSA-5229194,1
961,R-HSA-6784224,1
962,R-HSA-71676,1
963,R-HSA-110144,1
964,R-HSA-110145,1
965,R-HSA-70286,1
966,R-HSA-727807,1
967,R-HSA-6811522,1
968,R-HSA-9626817,1
969,R-HSA-77094,1
970,R-HSA-2534096,1
971,R-HSA-2485182,1
972,R-HSA-5692237,1
973,R-HSA-8987040,1
974,R-HSA-8848582,1
975,R-HSA-2162066,1
976,R-HSA-4641342,1
977,R-HSA-157849,1
978,R-HSA-72691,1
979,R-HSA-517705,1
980,R-HSA-9672170,1
981,R-HSA-8952618,1
982,R-HSA-8876191,1
983,R-HSA-5652099,1
984,R-HSA-71670,1
985,R-HSA-381487,1
986,R-HSA-428296,1
987,R-HSA-381543,1
988,R-HSA-382054,1
989,R-HSA-1022129,1
990,R-HSA-1022133,1
991,R-HSA-975902,1
992,R-HSA-69074,1
993,R-HSA-6807864,1
994,R-HSA-6807496,1
995,R-HSA-6811415,1
996,R-HSA-216040,1
997,R-HSA-9017120,1
998,R-HSA-8877475,1
999,R-HSA-9036987,1
1000,R-HSA-9033949,1
1001,R-HSA-9603989,1
1002,R-HSA-9603984,1
1003,R-HSA-1028819,1
1004,R-HSA-201821,1
1005,R-HSA-1248677,1
1006,R-HSA-1225978,1
1007,R-HSA-3791349,1
1008,R-HSA-2396234,1
1009,R-HSA-112153,1
1010,R-HSA-112055,1
1011,R-HSA-112155,1
1012,R-HSA-112149,1
1013,R-HSA-83805,1
1014,R-HSA-112156,1
1015,R-HSA-112054,1
1016,R-HSA-9672164,1
